frame_index,timestamp,tracker_frame_present,result_present,reliability_state,overall_quality_score,gate_passed,transition_reason,tracker_update_latency_ms
150,7.5,True,True,STABLE,0.763983342447156,True,STATE_MAINTAINED,76.60959986969829
151,7.55,True,True,STABLE,0.9014577884581325,True,STATE_MAINTAINED,9.111399995163083
152,7.6,True,True,STABLE,0.9003678710459123,True,STATE_MAINTAINED,9.333800058811903
153,7.65,True,True,STABLE,0.9069708148242879,True,STATE_MAINTAINED,8.896499872207642
154,7.7,True,True,STABLE,0.9009500224986408,True,STATE_MAINTAINED,11.139900190755725
155,7.75,True,True,STABLE,0.9094491456092252,True,STATE_MAINTAINED,8.709999965503812
156,7.8,True,True,STABLE,0.9045020344123205,True,STATE_MAINTAINED,8.680100087076426
157,7.85,True,True,STABLE,0.8808742610695166,True,STATE_MAINTAINED,10.452399961650372
158,7.9,True,True,STABLE,0.8798853283915433,True,STATE_MAINTAINED,9.00670001283288
159,7.95,True,True,STABLE,0.8751948084166475,True,STATE_MAINTAINED,8.935200050473213
160,8.0,True,True,STABLE,0.8704829753714505,True,STATE_MAINTAINED,8.736599935218692
161,8.05,True,True,STABLE,0.8775314512328216,True,STATE_MAINTAINED,8.743599988520145
162,8.1,True,True,STABLE,0.8736301135160116,True,STATE_MAINTAINED,8.898800006136298
163,8.15,True,True,STABLE,0.8672550303206555,True,STATE_MAINTAINED,9.365499950945377
164,8.2,True,True,STABLE,0.8624134465785164,True,STATE_MAINTAINED,9.21880011446774
165,8.25,True,True,STABLE,0.8584849924008319,True,STATE_MAINTAINED,8.786600083112717
166,8.3,True,True,STABLE,0.8530669095076266,True,STATE_MAINTAINED,8.870499907061458
167,8.35,True,True,STABLE,0.8469370103685755,True,STATE_MAINTAINED,8.910499978810549
168,8.4,True,True,STABLE,0.8237501028654649,True,STATE_MAINTAINED,9.044099831953645
169,8.45,True,True,STABLE,0.8236655551480324,True,STATE_MAINTAINED,8.807700127363205
170,8.5,True,True,STABLE,0.832288651274023,True,STATE_MAINTAINED,8.896799990907311
171,8.55,True,True,STABLE,0.8307343374099694,True,STATE_MAINTAINED,9.085900150239468
172,8.6,True,True,STABLE,0.8278032342175047,True,STATE_MAINTAINED,9.024300146847963
173,8.65,True,True,STABLE,0.8266906710978087,True,STATE_MAINTAINED,9.036700008437037
174,8.7,True,True,STABLE,0.8252148264932611,True,STATE_MAINTAINED,8.84570018388331
175,8.75,True,True,STABLE,0.8221837432192493,True,STATE_MAINTAINED,9.2248001601547
176,8.8,True,True,STABLE,0.8207069104295699,True,STATE_MAINTAINED,8.982199942693114
177,8.85,True,True,STABLE,0.8187038268341847,True,STATE_MAINTAINED,8.950100047513843
178,8.9,True,True,STABLE,0.8169214934645075,True,STATE_MAINTAINED,8.829700062051415
179,8.95,True,True,STABLE,0.8153046708492052,True,STATE_MAINTAINED,8.591100107878447
180,9.0,True,True,STABLE,0.8312281981391526,True,STATE_MAINTAINED,83.84239999577403
181,9.05,True,True,STABLE,0.9348302425186935,True,STATE_MAINTAINED,8.431899826973677
182,9.1,True,True,STABLE,0.9296954930677305,True,STATE_MAINTAINED,8.4198999684304
183,9.15,True,True,STABLE,0.9244449097037231,True,STATE_MAINTAINED,8.436799980700016
184,9.2,True,True,STABLE,0.9154860763339863,True,STATE_MAINTAINED,9.93699999526143
185,9.25,True,True,STABLE,0.9157091529801501,True,STATE_MAINTAINED,8.199499920010567
186,9.3,True,True,STABLE,0.9101972737846388,True,STATE_MAINTAINED,8.33979994058609
187,9.35,True,True,STABLE,0.9031918263756276,True,STATE_MAINTAINED,8.604699978604913
188,9.4,True,True,STABLE,0.8968496589446915,True,STATE_MAINTAINED,9.040799923241138
189,9.45,True,True,STABLE,0.891812825171014,True,STATE_MAINTAINED,8.972200099378824
190,9.5,True,True,STABLE,0.8855899834044302,True,STATE_MAINTAINED,8.925299858674407
191,9.55,True,True,STABLE,0.8823589197996493,True,STATE_MAINTAINED,8.535099914297462
192,9.6,True,True,STABLE,0.874839575091114,True,STATE_MAINTAINED,9.511500131338835
193,9.65,True,True,STABLE,0.872724752688481,True,STATE_MAINTAINED,8.222100092098117
194,9.7,True,True,STABLE,0.8657359451021466,True,STATE_MAINTAINED,8.405500091612339
195,9.75,True,True,STABLE,0.8588493361696712,True,STATE_MAINTAINED,9.605600032955408
196,9.8,True,True,STABLE,0.8555885025315718,True,STATE_MAINTAINED,8.826600154861808
197,9.85,True,True,STABLE,0.850381500838569,True,STATE_MAINTAINED,8.740399964153767
198,9.9,True,True,STABLE,0.8461600754556411,True,STATE_MAINTAINED,8.483299985527992
199,9.95,True,True,STABLE,0.8396563341511376,True,STATE_MAINTAINED,8.863799972459674
